# index x y z
506 1.07366 0.412048 0.985054
507 1.0742 0.411891 0.981656
508 1.07844 0.411582 0.981636
509 1.08121 0.411334 0.980262
510 1.08397 0.411085 0.978885
511 1.08376 0.41096 0.974823
512 1.08653 0.410712 0.973446
513 1.08706 0.410557 0.970063
514 1.08908 0.410339 0.968018
515 1.0926 0.410059 0.967303
516 0.933452 0.419886 0.995539
517 0.937406 0.419602 0.995811
518 0.939992 0.419371 0.994619
519 0.939823 0.419248 0.990516
520 0.939645 0.419125 0.986422
521 0.938767 0.419031 0.981612
522 0.937877 0.418938 0.976814
523 0.937672 0.418818 0.972748
524 0.938851 0.418644 0.97013
525 0.941423 0.418415 0.968952
526 0.943998 0.418185 0.96777
527 0.947276 0.417927 0.967301
528 0.949858 0.417696 0.966113
529 0.951739 0.417494 0.964209
530 0.952916 0.41732 0.961593
531 0.954089 0.417147 0.958981
532 0.956675 0.416916 0.957788
533 0.959973 0.416655 0.957299
534 0.961855 0.416453 0.955394
535 0.96445 0.416221 0.954193
536 0.966334 0.416018 0.952286
537 0.967503 0.415845 0.949678
538 0.96867 0.415673 0.947072
539 0.980594 0.415051 0.954948
540 1.0689 0.409376 0.980967
541 1.07091 0.40916 0.978929
542 1.07589 0.408813 0.97959
543 1.07865 0.408563 0.97822
544 1.08141 0.408313 0.976847
545 1.08194 0.408162 0.97346
546 1.08396 0.407944 0.971416
547 1.08449 0.407794 0.968038
548 1.0865 0.407577 0.965997
549 1.08927 0.407326 0.964621
550 0.926976 0.417459 0.98894
551 0.935036 0.416999 0.993601
552 0.937617 0.416766 0.992413
553 0.938134 0.41662 0.989041
554 0.937954 0.416504 0.98495
555 0.937074 0.416418 0.980144
556 0.936183 0.416333 0.975348
557 0.93667 0.41619 0.972006
558 0.938544 0.415988 0.970109
559 0.940418 0.415787 0.968212
560 0.94439 0.415495 0.968466
561 0.947669 0.415233 0.967995
562 0.950252 0.415 0.966805
563 0.952838 0.414767 0.965613
564 0.954721 0.414565 0.963706
565 0.955193 0.414423 0.960379
566 0.957782 0.41419 0.959184
567 0.960373 0.413957 0.957985
568 0.961547 0.413785 0.955373
569 0.964141 0.413551 0.954172
570 0.966025 0.413349 0.952265
571 0.967195 0.413178 0.949656
572 0.967646 0.413039 0.946351
573 0.974545 0.412613 0.949338
574 1.06414 0.406728 0.976879
575 1.06836 0.40641 0.976878
576 1.07333 0.406056 0.977543
577 1.07683 0.40577 0.97685
578 1.07959 0.405518 0.97548
579 1.08161 0.405301 0.973437
580 1.08288 0.405119 0.970725
581 1.08191 0.405042 0.966012
582 1.08467 0.404791 0.964642
583 1.08744 0.404539 0.963269
584 1.09246 0.404179 0.963883
585 0.929235 0.41456 0.987744
586 0.933869 0.414234 0.988751
587 0.933689 0.414124 0.98466
588 0.934192 0.413984 0.981303
589 0.93469 0.413844 0.977951
590 0.934489 0.413736 0.973882
591 0.936363 0.413534 0.971985
592 0.937541 0.413364 0.969369
593 0.940809 0.413099 0.968909
594 0.944082 0.412833 0.968445
595 0.948761 0.412503 0.969405
596 0.952048 0.412236 0.968926
597 0.955341 0.411968 0.968442
598 0.956526 0.411797 0.965818
599 0.957003 0.41166 0.962488
600 0.958181 0.41149 0.959871
601 0.960065 0.411287 0.957964
602 0.961239 0.411117 0.955352
603 0.963121 0.410915 0.953446
604 0.964291 0.410746 0.950838
605 0.966886 0.41051 0.949635
606 0.967338 0.410375 0.94633
607 0.969935 0.410139 0.945126
608 1.05938 0.404104 0.972792
609 1.06729 0.403599 0.976179
610 1.073 0.403201 0.97752
611 1.07724 0.402874 0.977501
612 1.08001 0.40262 0.976129
613 1.07979 0.402514 0.972073
614 1.08032 0.402371 0.968695
615 1.08009 0.402266 0.964655
616 1.08285 0.402012 0.963287
617 1.08561 0.401759 0.961917
618 1.09213 0.401316 0.963861
619 1.11005 0.39995 0.964232
620 1.11133 0.399769 0.961513
621 1.11337 0.39955 0.959451
622 0.92806 0.411821 0.982905
623 0.932003 0.41152 0.983186
624 0.932504 0.411384 0.979831
625 0.933691 0.411215 0.977206
626 0.934182 0.41108 0.973861
627 0.936056 0.410878 0.971964
628 0.93793 0.410676 0.970067
629 0.941199 0.410407 0.969607
630 0.944473 0.410138 0.96914
631 0.948452 0.409833 0.969384
632 0.953843 0.409459 0.971047
633 0.95714 0.409187 0.970558
634 0.959737 0.408949 0.969353
635 0.959516 0.408849 0.965306
636 0.959993 0.408715 0.961975
637 0.960464 0.408582 0.95865
638 0.96164 0.408415 0.956036
639 0.962813 0.408247 0.953425
