# index x y z
437 0.856644 1.2556 2.05362
438 0.861133 1.25692 2.05497
439 0.865634 1.25823 2.05631
440 0.870146 1.25955 2.05764
441 0.875107 1.26127 2.06
442 0.84325 1.25981 2.0888
443 0.843058 1.2567 2.07868
444 0.843272 1.25398 2.06961
445 0.842189 1.25007 2.05744
446 0.844933 1.24977 2.05467
447 0.848537 1.25028 2.05397
448 0.852146 1.25079 2.05326
449 0.856625 1.2521 2.05462
450 0.860681 1.25301 2.05494
451 0.864746 1.25391 2.05525
452 0.869256 1.25522 2.05658
453 0.874652 1.25733 2.05996
454 0.84195 1.25508 2.08668
455 0.840486 1.25077 2.07342
456 0.840695 1.24807 2.06437
457 0.841739 1.24618 2.05741
458 0.844056 1.24548 2.05359
459 0.847658 1.24599 2.0529
460 0.852126 1.24729 2.05427
461 0.857037 1.24899 2.05667
462 0.860663 1.2495 2.05595
463 0.864728 1.2504 2.05625
464 0.868802 1.2513 2.05655
465 0.873759 1.25299 2.0589
466 0.840827 1.25344 2.09469
467 0.84023 1.24995 2.08351
468 0.839611 1.24647 2.07234
469 0.840244 1.24418 2.06433
470 0.842142 1.24308 2.05947
471 0.844889 1.24279 2.05669
472 0.848066 1.24289 2.05494
473 0.852106 1.24379 2.05528
474 0.856586 1.24508 2.05664
475 0.86021 1.24558 2.05591
476 0.864275 1.24648 2.05622
477 0.868784 1.24777 2.05755
478 0.873305 1.24906 2.05887
479 0.839951 1.24911 2.09361
480 0.83809 1.24444 2.07929
481 0.837467 1.24097 2.06813
482 0.839369 1.23988 2.06326
483 0.84084 1.2384 2.05735
484 0.843585 1.2381 2.05457
485 0.847187 1.2386 2.05387
486 0.851225 1.23949 2.05421
487 0.856134 1.24118 2.05661
488 0.860191 1.24207 2.05692
489 0.863822 1.24256 2.05619
490 0.867895 1.24345 2.05649
491 0.872413 1.24473 2.05781
492 0.839496 1.24517 2.09358
493 0.836794 1.23974 2.07716
494 0.837016 1.23707 2.0681
495 0.838495 1.23559 2.06219
496 0.839965 1.23412 2.05628
497 0.842281 1.23343 2.05246
498 0.847594 1.2355 2.05592
499 0.851204 1.23599 2.05521
500 0.855251 1.23687 2.05554
501 0.859738 1.23815 2.05689
502 0.863803 1.23903 2.05719
503 0.867877 1.23992 2.05749
504 0.872395 1.24119 2.05881
505 0.837781 1.24005 2.09041
506 0.835499 1.23504 2.07504
507 0.83572 1.23239 2.06598
508 0.837196 1.23092 2.06007
509 0.83909 1.22984 2.0552
510 0.842259 1.22993 2.05347
511 0.846287 1.23081 2.05381
512 0.850753 1.23209 2.05518
513 0.85523 1.23336 2.05654
514 0.859718 1.23463 2.05789
515 0.863784 1.2355 2.0582
516 0.868293 1.23677 2.05952
517 0.872813 1.23804 2.06084
518 0.836907 1.23573 2.08933
519 0.834627 1.23074 2.07396
520 0.834847 1.2281 2.0649
521 0.836323 1.22664 2.05899
522 0.839066 1.22634 2.05622
523 0.841809 1.22605 2.05344
524 0.845837 1.22692 2.05378
525 0.850302 1.22819 2.05515
526 0.854778 1.22945 2.05651
527 0.859266 1.23071 2.05786
528 0.863764 1.23197 2.0592
529 0.868274 1.23323 2.06052
530 0.836034 1.23141 2.08825
531 0.834175 1.22684 2.07393
532 0.834397 1.22421 2.06487
533 0.837145 1.22391 2.06209
534 0.839042 1.22284 2.05723
535 0.841786 1.22255 2.05445
536 0.84667 1.22419 2.05687
537 0.851139 1.22545 2.05824
538 0.854757 1.22593 2.05752
539 0.859245 1.22718 2.05886
540 0.864177 1.22882 2.06123
541 0.867819 1.2293 2.06049
542 0.871903 1.23016 2.06078
543 0.835316 1.23011 2.09732
544 0.833903 1.22594 2.08403
545 0.832462 1.22177 2.07076
546 0.833525 1.21993 2.0638
547 0.835848 1.21925 2.05997
548 0.838592 1.21895 2.0572
549 0.842189 1.21943 2.0565
550 0.846647 1.22068 2.05788
551 0.851116 1.22193 2.05924
552 0.854735 1.2224 2.05852
553 0.859655 1.22403 2.0609
554 0.863723 1.22489 2.0612
555 0.867799 1.22575 2.06149
556 0.832355 1.22386 2.09099
557 0.832193 1.22087 2.08085
558 0.832431 1.21826 2.07178
559 0.833075 1.21604 2.06377
560 0.835398 1.21536 2.05994
561 0.839417 1.21622 2.06029
562 0.842165 1.21592 2.05751
563 0.846623 1.21716 2.05889
564 0.851093 1.2184 2.06025
565 0.855573 1.21964 2.0616
566 0.859633 1.22049 2.06191
567 0.864135 1.22173 2.06324
568 0.831484 1.21955 2.08991
569 0.83174 1.21695 2.08082
570 0.83114 1.21359 2.06965
571 0.832626 1.21215 2.06374
572 0.834949 1.21147 2.05991
573 0.838542 1.21194 2.05922
574 0.841715 1.21203 2.05748
575 0.846172 1.21326 2.05885
576 0.851069 1.21487 2.06126
577 0.854261 1.21496 2.0595
578 0.858748 1.21619 2.06084
579 0.863248 1.21742 2.06217
580 0.867324 1.21826 2.06246
581 0.832699 1.21715 2.09408
582 0.832544 1.21418 2.08393
583 0.83111 1.21008 2.07067
584 0.832597 1.20864 2.06475
585 0.835344 1.20834 2.06197
